TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,,
164,,
168,,
172,,
176,,
180,,
184,,
188,,
192,,
196,,
200,,
204,,
208,,
212,,
216,,
220,,
224,,
228,,
232,,
236,,
240,,
244,,
248,,
252,,
256,,
260,,
264,,
268,,
272,,
276,,
280,,
284,,
288,,
292,,
296,,
300,,
304,,
308,,
312,,
316,,
320,,
324,,
328,,
332,,
336,,
340,,
344,,
348,,
352,,
356,,
360,,
364,,
368,,
372,,
376,,
380,,
384,,
388,,
392,,
396,,
400,,
404,,
408,,
412,,
416,,
420,,
424,,
428,,
432,,
436,,
440,,
444,,
448,,
452,,
456,,
460,,
464,,
468,,
472,,
476,,
480,,
484,,
488,,
492,,
496,,
500,,
504,,
508,,
512,,
516,,
520,,
524,,
528,,
532,,
536,,
540,,
544,,
548,,
552,,
556,,
560,,
564,,
568,,
572,,
576,,
580,,
584,,
588,,
592,,
596,,
600,,
604,,
608,,
612,,
616,,
620,,
624,,
628,,
632,,
636,,
640,,
644,,
648,,
652,,
656,,
660,,
664,918.9259,782.6344
668,920.7874,770.1072
672,936.5363,767.8006
676,902.353,799.9938
680,917.7232,788.8315
684,923.7375,774.3587
688,899.4998,778.8538
692,901.737,776.9521
696,964.8722,766.8763
700,906.8042,793.7098
704,956.4052,784.9357
708,1052.3493,758.8889
712,1099.4096,745.8718
716,1154.2042,751.518
720,1189.3385,716.4882
724,1222.1692,709.2031
728,1239.0551,726.817
732,1240.513,635.9632
736,1268.2077,680.2406
740,1292.082,667.0676
744,1301.0406,665.4118
748,1289.9479,650.7987
752,1289.0099,627.4525
756,1295.843,617.4283
760,1319.8574,598.9236
764,1305.1032,596.3183
768,1308.3205,596.1833
